midpoint,gdpc,a2003,a2013,c2003,c2013
10,20,0.193099404039566,0.0923460052788515,0.193099404039566,0.0923460052788515
30,40,0.279632488045413,0.092270259450881,0.472731892084979,0.184616264729733
50,60,0.354765541287888,0.1067173735423,0.827497433372867,0.291333638272033
70,80,0.505161664025158,0.143204072998621,1.33265909739803,0.434537711270653
90,100,0.64712890980103,0.181156888463608,1.97978800719906,0.615694599734262
110,120,0.758943581889132,0.248964103652388,2.73873158908819,0.864658703386649
130,140,0.877826765748726,0.267320746103859,3.61655835483691,1.13197944949051
150,160,1.02135112117705,0.298323103996731,4.63790947601396,1.43030255348724
170,180,1.11415148491457,0.363902005829285,5.75206096092853,1.79420455931652
190,200,1.1964055801465,0.379501578398242,6.94846654107502,2.17370613771477
210,220,1.20525277263388,0.416315175944549,8.1537193137089,2.59002131365932
230,240,1.3289463571938,0.460792473385215,9.4826656709027,3.05081378704453
250,260,1.33317523080575,0.486241315977503,10.8158409017085,3.53705510302203
270,280,1.33773735470963,0.502657159104492,12.1535782564181,4.03971226212652
290,300,1.4482711629128,0.554925077614907,13.6018494193309,4.59463733974143
310,320,1.41317597405744,0.539241273945669,15.0150253933883,5.1338786136871
330,340,1.39657482594219,0.591517208088998,16.4116002193305,5.7253958217761
350,360,1.31060281815758,0.619182291258267,17.7222030374881,6.34457811303437
370,380,1.32868203010055,0.646153169825526,19.0508850675886,6.99073128285989
390,400,1.27307113409574,0.641972626279481,20.3239562016844,7.63270390913937
410,420,1.29947402809641,0.647217735509405,21.6234302297808,8.27992164464878
430,440,1.33354499709649,0.671505955016704,22.9569752268773,8.95142759966548
450,460,1.25643690572983,0.745053926045217,24.2134121326071,9.6964815257107
470,480,1.22721439127837,0.713393388195174,25.4406265238855,10.4098749139059
490,500,1.15164083254419,0.735430900118822,26.5922673564297,11.1453058140247
510,520,1.14701489307345,0.752579682102446,27.7392822495031,11.8978854961271
530,540,1.09429152981475,0.751652705468472,28.8335737793179,12.6495382015956
