"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.917954210714542","0.938241491466478","0.9521209239522","0.979251257196518","1.01928320879238","1.03211303423554","1.04685757198903","1.06738154720073","1.1252871363452","1.13270803367496","1.11911616268947","1.1557729396442","1.1898348329006","1.19104871224325","1.1843398871342","1.18566122280955","1.18420064851957","1.22213322574509","1.25942550830119","1.27152032968056","1.24767300405483","1.26011914250927","1.24616314047816","1.19708856966318","1.19573676058594","1.20723309241229","1.17683161780317","1.16280850983699","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.63760168215101","10.550504128563","11.4255269038291","12.277328754393","12.7689691136773","15.2399451396947","15.2600748763266","14.8174091827305","15.1970297357995","17.35617","18.2730276625114","18.8239496515764","18.5791747545757","18.8325288034033","19.5793916088707","19.5884123756216","",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.21641945115583E-09","1.84018842146493E-08","1.03725290486014E-07","1.0311647531513E-06","2.29800468426559E-05","0.000433439539947802","0.0208600308058161","0.0400854959171247","0.0552631392418066","0.357879054110018","1.81263460753357","3.65706906103033","10.6967060649281","20.3382298530847","26.4130840884286","36.4334789868921","41.3983303928721","42.0625174074328","49.2440168948252","40.6812393444848","52.9263702095695","68.3148555611226","71.8927941263867","72.6592474116935","73.8493707503513","70.4972098286523","84.9188677761823","102.180626247949","",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.89268214236765","2.53817470863587","8.26451252013908","18.2087985676285","24.2204931273502","26.0964005557226","35.4114781211794","38.7287651800851","40.7189378323604","41.1015460448694","42.0194367384205","42.8061570571354","42.9260380994992","44.642468640582","44.9395159581232","45.5274046074475","44.4585057595183","44.6778762377464","44.5610646231307","44.3289881682501","44.1994971947144","43.8577452654807","43.6552643135117","44.1135560788931","42.8938448473212","42.6942041750416","43.1379694891288","41.752739207628","",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.40217218762867","1.36800737841941","1.36168460375712","1.34703787406506","1.31550651093782","1.33898280977404","1.3908914094356","1.35446423595428","1.28291636624639","1.37026832147228","1.49331405324861","1.42574030321613","1.45713386217032","1.48682613101355","1.57005535149158","1.77249062749838","1.92537101117489","2.11052800655195","2.45355046415943","2.06534345454228","2.29527515653502","2.54430863442172","2.55229204926187","2.48652313491129","2.41560680313417","2.0208964936891","1.93512225429934","2.01885627867216","",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.287521655920986","0.669221303063794","0.759466093875184","0.715399554363899","0.720451551678177","0.728069555575458","0.714642053011409","0.699357210534886","0.680050919758402","0.657499528344048","0.649539290931547","0.628107892724815","0.80762942313536","0.874948836822235","1.00790423520902","1.07723339382437","1.18873547655942","1.33091162992449","1.60776131441234","1.84101589731949","2.19920666278682","2.664829","3.19814703841878","3.89569809348292","5.36352935048087","6.71732425301571","9.30749070346143","11.4474164436685","",
"Armenia","ARM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00587988277654861","0.0102079206755433","0.0667497244566106","0.972217951502991","40.0517402212057","102.463633744742","120.341180952034","139.300748791899","152.54829643093","150.329843145423","144.966066621488","147.503480598479","148.716023853802","152.458989998755","157.741002146525","157.774925947888","160.143856698049","162.595173896305","169.018426839332","172.033635011684","183.161398017652","187.095284122817","193.388154884639","196.451608853786","197.256178745761","197.538342951185","195.926362670572","196.562381444081","",
"American Samoa","ASM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
